,na_sales,eu_sales,jp_sales,other_sales,global_sales
na_sales,1.0,0.7677267483702563,0.4497874070704261,0.634737271904543,0.9410473571255572
eu_sales,0.7677267483702563,1.0,0.4355844528091777,0.7263848893745163,0.9028358134817438
jp_sales,0.4497874070704261,0.4355844528091777,1.0,0.2901862496015262,0.6118155181565057
other_sales,0.634737271904543,0.7263848893745163,0.2901862496015262,1.0,0.7483308464078048
global_sales,0.9410473571255572,0.9028358134817438,0.6118155181565057,0.7483308464078048,1.0
