feature,importance
NA_Sales,0.8583751742872281
EU_Sales,0.09870571989864801
JP_Sales,0.03021602786032113
Other_Sales,0.007999531605669545
Year,0.001566481707624194
Platform_encoded,0.0015298097877818335
Genre_encoded,0.001119956028528169
Publisher_encoded,0.0004872988241991415
